GEOID,ptg_owner_unit_resident,ptg_renter_unit_resident,ptg_race_white,ptg_race_black,pop_density_perSqkm,household_w_car,rate_w_car,household_w_car_2017,rate_w_car_2017,communte_by_car_by_household
36005000100,0.0,0.0,0.4269005847953216,0.4642375168690958,2650.8308440803476,0,,0,,
36005000200,0.6771540201521694,0.3228459798478305,0.1540041067761807,0.3024640657084189,10867.98852947412,1124,0.7887719298245615,1078,0.8160484481453444,0.44805194805194803
36005000400,0.676830262514267,0.3231697374857329,0.1262585903787757,0.3031804379095413,8069.217039627762,1709,0.740147249891728,1475,0.7622739018087855,0.4622491239248168
36005001600,0.2073211875843454,0.7926788124156545,0.0892018779342723,0.3710539096648859,12734.034526406062,1012,0.45895691609977324,998,0.508664627930683,0.36093684650773733
36005002300,0.0,1.0,0.1082155477031802,0.4275618374558304,43270.10368388361,264,0.1372854914196568,361,0.18213925327951563,0.13695090439276486
36005002400,0.0,0.0,0.0,0.0,0.0,0,,0,0.0,
36005002500,0.0618575967108951,0.9381424032891048,0.1862814604750088,0.2768521800779865,44253.75709848461,338,0.17386831275720166,541,0.28624338624338624,0.052980132450331126
36005002701,0.0110294117647058,0.9889705882352942,0.0530734632683658,0.3724137931034483,40878.113355559915,253,0.2182916307161346,194,0.18319169027384324,0.08586387434554973
36005002702,0.0248676030393737,0.9751323969606264,0.0428,0.3204,32162.407291860985,443,0.28954248366013075,229,0.15610088616223586,0.09843260188087774
36005002800,0.0903486804083991,0.9096513195916008,0.0894837476099426,0.6621414913957935,12614.93337964437,1717,0.6754523996852871,1511,0.6356752208666386,0.38935361216730036
36005003100,0.1365621278285033,0.8634378721714966,0.1695974990230558,0.381789761625635,16541.372824056416,233,0.2259941804073715,235,0.4166666666666667,0.1537037037037037
36005003300,0.1308411214953271,0.8691588785046729,0.1317785894914301,0.3692048328182074,23355.317124388883,391,0.32049180327868854,263,0.21628289473684212,0.1701093560145808
36005003500,0.0490605427974947,0.9509394572025052,0.1726083611182354,0.4098486791484996,27456.77969085596,496,0.33558863328822736,532,0.4006024096385542,0.13808463251670378
36005003700,0.0,1.0,0.1359516616314199,0.4108761329305136,1994.3002777560205,25,0.13297872340425532,44,0.3076923076923077,0.08333333333333333
36005003800,0.4369900271985494,0.5630099728014506,0.3942470389170897,0.1692047377326565,18644.415350884112,281,0.76775956284153,220,0.541871921182266,0.5197505197505198
36005003900,0.0488284450270358,0.951171554972964,0.1331299180986028,0.055564477276377,28800.70302021183,676,0.29012875536480687,455,0.22910372608257804,0.1563188022897402
36005004001,0.5346676197283774,0.4653323802716226,0.1454932576295244,0.1376863023420866,11441.796256445654,361,0.6824196597353497,357,0.7226720647773279,0.2986111111111111
36005004100,0.1504741178299393,0.8495258821700606,0.1608689047546711,0.4116664134892906,35635.40696793192,865,0.3539279869067103,351,0.1729064039408867,0.08170070862859524
36005004200,0.1118263284109554,0.8881736715890446,0.1788727228267514,0.449688225944492,16921.275416049455,1823,0.6238877481177276,1154,0.4263021795345401,0.41272189349112426
36005004300,0.2234352256186317,0.7765647743813683,0.1542562644393104,0.3095788164208281,24965.061336764345,558,0.25214640759150475,466,0.22765021983390327,0.1592783505154639
36005004400,0.0580104237480172,0.9419895762519828,0.0969076655052264,0.3800087108013937,17290.523723637787,476,0.2956521739130435,551,0.3367970660146699,0.15070921985815602
36005004600,0.148578811369509,0.851421188630491,0.2183777651730005,0.3170731707317073,13026.35564980309,304,0.4523809523809524,308,0.42896935933147634,0.4444444444444444
36005004800,0.0944862155388471,0.9055137844611528,0.0905890636000938,0.2163811311898615,28249.598896800457,399,0.26198292843072885,475,0.3584905660377358,0.2161812297734628
36005005001,0.0778658976207642,0.9221341023792358,0.0297918948521358,0.3323110624315443,46634.4533093606,449,0.3260711692084241,520,0.33248081841432225,0.24960254372019078
36005005002,0.0456228956228956,0.9543771043771044,0.030467058459635,0.2582740488710176,56768.59729062958,410,0.21177685950413222,559,0.2960805084745763,0.17209554831704668
36005005100,0.0306825297432686,0.9693174702567312,0.1061306223043746,0.5288046826863833,12718.314411934683,337,0.14279661016949152,381,0.18621700879765396,0.09257998638529612
36005005200,0.142413257379596,0.8575867426204039,0.1009839461418953,0.3723459347488348,10569.875580905256,243,0.29634146341463413,227,0.27515151515151515,0.18435754189944134
36005005300,0.0,1.0,0.0689719278676333,0.5791039226622049,74658.56095936043,379,0.23194614443084455,194,0.1286472148541114,0.1087248322147651
36005005400,0.1393531976744186,0.8606468023255814,0.0283464566929133,0.2745406824146981,29081.601498096847,602,0.33801235261089274,481,0.26722222222222225,0.18506834910620398
36005005600,0.1825362000877577,0.8174637999122422,0.0359151882302033,0.1903937689311986,16969.18964960202,386,0.4050367261280168,369,0.4178935447338618,0.24110218140068887
36005005902,0.2881646655231561,0.7118353344768439,0.1490810074880871,0.2896528250510551,41764.39649167697,368,0.2951082598235766,398,0.38528557599225555,0.18319327731092436
36005006000,0.2634450506625097,0.7365549493374902,0.2043176561295296,0.1218195836545875,3854.5093598899225,187,0.49866666666666665,202,0.5595567867036011,0.18464730290456433
36005006100,0.3972071373157486,0.6027928626842514,0.093071354705274,0.8055842812823164,15931.79150276994,768,0.3952650540401441,768,0.3486155242850658,0.21549512570548998
36005006200,0.0246530612244897,0.9753469387755102,0.0866977641949493,0.3313495254946115,32045.73101585534,743,0.2921745969327566,553,0.22747840394899219,0.22195474241694751
36005006400,0.2657987523732031,0.7342012476267968,0.0929226069246435,0.3510692464358452,23494.930765319856,505,0.36514822848879247,564,0.4382284382284382,0.26901062959934585
36005006500,0.1014380101049358,0.8985619898950641,0.3241514128309934,0.3762217878087791,21492.60344294166,311,0.14418173388966157,336,0.17684210526315788,0.09178433889602054
36005006700,0.0157540532272866,0.9842459467727134,0.0143131178987752,0.2881806108897742,31902.423868680828,358,0.13843774168600154,367,0.15839447561501943,0.05452185201211597
36005006800,0.1916362159967519,0.808363784003248,0.0738066586442037,0.1660649819494584,16149.09246375685,237,0.2613009922822492,521,0.509286412512219,0.1411042944785276
36005006900,0.0801968731905037,0.9198031268094964,0.1035403203146951,0.284630514189379,37866.13327091468,839,0.29041190723433713,1024,0.37939977769544275,0.19326158165652785
36005007000,0.3501602564102564,0.6498397435897436,0.1235461359524424,0.2359782889635564,18883.211073204777,615,0.4752704791344668,683,0.5119940029985007,0.2928221859706362
36005007100,0.3857041755130927,0.6142958244869073,0.0898328690807799,0.322075208913649,10868.002209928029,517,0.41162420382165604,404,0.41140529531568226,0.24100156494522693
36005007200,0.3842968361769091,0.615703163823091,0.092130829015544,0.161431347150259,28988.50035203004,957,0.579648697758934,824,0.4996967859308672,0.2827903091060986
